日期,主题,标的,方向,原文定位,关键催化,参考材料,当前位置判断,交易表达,风险点,交易提示,下次复盘日期,备注
2026-05-20,昇腾映射风险,法本信息,同实控人映射,"作者提示法本电子与法本信息同一实控人但无股权关系，注意炒作风险","昇腾总代概念扩散；法本电子映射","工商股权；公司公告；实际订单；收益路径","偏概念映射",趋势破位走；止盈止损,"无股权关系；实际受益路径不清；情绪退潮；高波动",条件式退出或利润保护,,
2026-05-20,H200/5090进口扰动,H200/RTX 5090 D v2,AIDC/Token工厂卡源,"H200有限准入与5090禁入传闻共同扰动算力供给，作者认为国产算力自主可控不变","H200许可和准入；5090禁入；国产卡配比；AIDC上架率","BIS政策；海关文件；NVIDIA公告；Reuters等权威媒体；云厂采购；供应链订单","不适用",提示机会；观察催化,"政策反复；交付不确定；传闻证据不足；板块情绪剧烈波动",提示机会，观察事件催化,,"H200此前部分验证；5090禁入暂缺官方证据，整体仍按待验证跟踪"
2026-05-20,半导体零部件/存储耗材,珂玛科技,陶瓷加热器/存储耗材,"存储耗材第一股，陶瓷加热器被称成为长存流片瓶颈，两存库存告急带动导入","两存库存告急；拓荆需求；陶瓷加热器四倍放量；北美订单","财报；客户验证；拓荆订单；长存长鑫招投标；投资者关系记录；产能数据","高位需看订单兑现",低位多看逻辑,"客户传闻；订单节奏；产能爬坡；估值提前反映；趋势破位",低位关注产业逻辑和基本面,,
2026-05-20,半导体设备/零部件,京仪装备,Chiller/真空泵,"设备加零部件双重弹性，温控设备接近独供，真空泵为第二成长曲线","Q1订单高增；两存订单；先进逻辑下单；真空泵验证","公司公告；财报；订单；客户结构；真空泵验证；招投标","相对低估但需看订单",低位多看逻辑,"客户集中；订单延期；真空泵验证失败；估值波动",低位关注产业逻辑和基本面,,
2026-05-20,半导体设备零部件,富创精密,先进制程零部件平台,"零部件龙头继续新高，作者强调产能前置、海外客户订单和利润拐点","AMAT/LAM订单；北方华创/中微/新凯来订单；7nm以下零部件；稼动率提升","财报；合同负债；客户结构；毛利率；固定资产利用率；投资者关系记录","高位趋势跟踪",高位多看图；趋势保持留,"订单周期；海外客户拉货放缓；毛利率修复不及预期；估值提前反映",趋势未破时跟踪量价,,
2026-05-20,光通信/半导体光学,茂莱光学,CPO/OCS/FSO/光刻机光学,"官网披露光通信布局后被定义为下一代光通信铲子股，兼具光刻机和北美客户逻辑","官网光通信布局；CPO/OCS/FSO；北美客户；光刻机物镜；前道量检测","公司官网；公告；调研纪要；客户认证；订单；收入分项","高位需看趋势量价和订单验证",高位多看图；趋势保持留,"客户传闻；收入体量小；订单落地慢；估值提前反映；趋势破位",趋势未破时跟踪量价,,
2026-05-20,光测试仪器,联讯仪器/普源精电/华兴源创/鼎阳科技,采样示波器/误码仪/光模块测试,"光模块800G至1.6T/3.2T迭代带动测试仪器需求和国产替代","光模块技术迭代；是德/安立交期拉长；国产替代窗口","公司公告；产品性能；客户认证；订单；收入分项；海外龙头价格和交期","待补充",低位多看逻辑,"市场空间测算过大；国产性能差距；客户认证周期；订单不及预期",低位关注产业逻辑和基本面,,
2026-05-20,半导体材料平台,鼎龙股份,CMP材料/光刻胶/抛光液,"材料板块估值重估，鼎龙被视为最有机会冲击材料龙头的标的","长存长鑫扩产；抛光垫；光刻胶；抛光液；材料持续消耗属性","财报；收入分项；客户验证；订单；毛利率；产能扩张","高位需看业绩兑现",高位多看图；趋势保持留,"估值提前反映；客户集中；材料导入周期；趋势破位",趋势未破时跟踪量价,,
2026-05-20,Micro-LED光互连,华灿光电,Micro-LED/光互连,"京东方系Micro-LED平台，首批样品与海外客户进展被反复强调","京东方-康宁合作；Micro-LED光互连；海外客户样品；智算中心应用","公司公告；合作备忘录；客户验证；样品交付；收入分项","已有涨幅需看样品和量产",高位多看图；趋势保持留,"样品不等于量产；客户不透明；估值提前反映；趋势破位",趋势未破时跟踪量价,,
2026-05-20,Micro-LED光互连,新相微,驱动芯片/光互连,"与华灿光电联动，参与Micro-LED光互连驱动设计","驱动芯片；芯片制造+驱动设计闭环；光互连合作","公司公告；合作协议；产品定义；客户验证；订单","待补充",低位多看逻辑,"业务占比小；客户不透明；概念映射过度",低位关注产业逻辑和基本面,,
2026-05-20,Micro-LED光互连,兆驰股份,Micro-LED/光模块,"Micro-LED芯片到模组全链条布局，被视为潜在新成长极","芯片-器件-模块全链条；光互连产品推出","公司公告；产品发布；客户认证；订单；收入分项","待补充",低位多看逻辑,"推出节奏不确定；量产不确定；估值提前反映",低位关注产业逻辑和基本面,,
2026-05-20,Micro-LED光互连,思特威,Micro-LED/CMOS/RX/TX,"被描述为具备Micro-LED/CMOS/RX设计能力的前瞻卡位标的","TX/Micro-LED/RX设计；2026年推向市场","公司公告；产品发布；客户认证；订单；收入分项","待补充",低位多看逻辑,"产品未落地；业务相关度；主题波动",低位关注产业逻辑和基本面,,
2026-05-21,AI光学/透镜阵列,炬光科技,微透镜阵列/V型槽,"微透镜阵列、V型槽、OCS/CPO受益被进一步强化","CPO；OCS；MicroLED；微纳光学制造","公司公告；客户认证；样件；订单；收入分项","高位趋势跟踪",高位多看图；趋势保持留,"估值提前反映；订单节奏；趋势破位",趋势未破时跟踪量价,,
2026-05-21,AI光学/透镜阵列,水晶光电,滤光片/透镜/AI光学,"AI光学低估值高赔率标的，量产节奏与北美客户被强调","滤光片；透镜；CPO/OCS；北美客户；量产出货","公司公告；投资者交流；客户认证；订单；收入分项","待补充",低位多看逻辑,"北美客户不透明；量产节奏；估值波动",低位关注产业逻辑和基本面,,
2026-05-21,AI光学/透镜阵列,茂莱光学,微透镜阵列/光通信,"从光刻机光学向下一代光通信铲子股继续延展","微透镜阵列；FAU；CPO/OCS/FSO；北美客户","公司公告；调研纪要；客户认证；订单；收入分项","高位需看趋势量价",高位多看图；趋势保持留,"客户传闻；收入体量小；订单落地慢；估值提前反映",趋势未破时跟踪量价,,
2026-05-21,MLCC涨价,三环集团,高容MLCC,"AI服务器MLCC量价齐升逻辑下的本土受益标的","服务器MLCC；高容规格；涨价传导","公司公告；财报；价格变化；客户认证；订单","待补充",提示机会；观察催化,"高端规格能力；价格竞争；客户集中",提示机会，观察事件催化,,
2026-05-21,MLCC涨价,风华高科,高容MLCC,"AI服务器MLCC量价齐升逻辑下的本土受益标的","服务器MLCC；高容规格；涨价传导","公司公告；财报；价格变化；客户认证；订单","待补充",提示机会；观察催化,"高端规格能力；价格竞争；客户集中",提示机会，观察事件催化,,
2026-05-21,MLCC涨价,昀冢科技,MLCC/弹性制造,"被视为AI浪潮下MLCC通胀的弹性品种之一","高容MLCC；量价齐升；产能利用","公司公告；产品结构；客户认证；订单；收入分项","待补充",提示机会；观察催化,"业务占比；业绩兑现；概念弹性",提示机会，观察事件催化,,
2026-05-21,MLCC涨价,利和兴,MLCC/新凯来映射,"被描述为可参与107规格部分工序的弹性标的","107规格；新凯来；存储测试；二供","公司公告；业务占比；客户认证；订单；收入分项","偏概念映射",提示机会；观察催化,"业务占比低；概念叠加；主题退潮",提示机会，观察事件催化,,
2026-05-21,半导体后道测试,长川科技,测试设备平台,"AI测试机、存储测试机、封装产品线全面上修","AI测试；存储测试；封装产品线；新加坡收购","公司公告；财报；订单；客户验证；产品收入分项","高位需看业绩兑现",高位多看图；趋势保持留,"订单上修不等于兑现；估值提前反映；趋势破位",趋势未破时跟踪量价,,
2026-05-21,半导体后道测试,精智达,存储测试/验证设备,"长鑫订单和IDBA、CP、FT设备突破被再度强调","长鑫订单；IDBA；CP；FT；18GHz测试机","公司公告；财报；订单；客户验证；收入分项","待补充",低位多看逻辑,"验证周期；订单不确定；估值波动",低位关注产业逻辑和基本面,,
2026-05-13,超节点网络侧,盛科通信,以太网Switch芯片,"阿里和字节订单节奏被重新梳理，腾讯订单待6月验证","scale out订单；scale up订单；超节点交换芯片需求","公司公告；客户招标；供应商名单；封测订单；收入分项","已有较多预期交易",高位多看图；趋势保持留,"订单传闻不实；份额和单价假设过高；估值提前反映",趋势未破时跟踪量价,,
2026-05-12,真空镀膜/果链/光通信,汇成真空,高端镀膜设备,"主业大客户被指苹果，光通信客户被指Lumentum旭创光迅","果链订单；离子束镀膜送样；光通信客户导入","公司公告；客户订单；验收记录；调研纪要；财报收入分项","已有涨幅需看订单确收",高位多看图；趋势保持留,"送样不等于批量；客户传闻；收入确认延期；趋势破位",趋势未破时跟踪量价,,
2026-05-12,算力资产金融化,CME算力期货,算力资产定价,"原文称CME推出全球首个算力期货并强化算力资产标准化叙事","算力期货；Token消耗增长；算力资产重估","CME官方公告；合约规则；交易数据；权威媒体报道","不适用",提示机会；观察催化,"事件真实性待核验；国内映射弱；交易不活跃",提示机会，观察事件催化,,
2026-05-11,AIDC/Token工厂,大位科技,字节AIDC/Token工厂,"字节AIDC弹性标的，张北和太仆寺旗项目被重点更新","字节招标；上架率爬坡；源网荷储；Token工厂","项目备案；能评环评；客户合同；公司公告；收入确认","补涨后需看趋势和项目兑现",高位多看图；趋势保持留,"客户绑定不透明；项目资金压力；估值提前反映",趋势未破时跟踪量价,,
2026-05-11,CPU涨价/昇腾整机,神州数码,服务器CPU代理/昇腾整机,"Intel代理受益涨价并叠加昇腾核心整机伙伴逻辑","Intel涨价；CPU需求提升；神州鲲泰适配DeepSeekV4","Intel价格资料；公司财报；渠道库存；昇腾整机订单","待补充",提示机会；观察催化,"分销毛利低；库存周期；昇腾订单不透明",提示机会，观察事件催化,,
2026-04-16,后道测试通胀,金海通,分选机/三温测试,"26Q1收入和利润大超预期，分选机国产替代率先兑现","封测复苏；三温测试；批量出货规模效应","财报；订单；客户采购；毛利率；市场空间来源","高位需看趋势量价",高位多看图；趋势保持留,"技术壁垒相对低；竞争加剧；估值提前反映",趋势未破时跟踪量价,,
2026-04-15,真空镀膜/光刻/TGV,汇成真空,镀膜设备,"光刻机镀膜光通信镀膜和TGV构成三重预期差","光刻订单；光通信设备送样；TGV深孔镀膜","公告；合同；客户验证；验收记录；收入确认","逻辑强化后需看订单落地",低位多看逻辑,"验证周期长；多线推进；订单传闻；收入确认慢",低位关注产业逻辑和基本面,,
2026-04-15,光通信/半导体光学,茂莱光学,光刻光学/CPO/OCS,"公告被解读为半导体订单和光刻机供应链需求超预期","半导体订单；光刻物镜；量检测；光互联子公司","公告；订单；客户认证；调研纪要；产能建设","已有关注度提升",低位多看逻辑,"客户传闻；收入体量小；估值提前反映",低位关注产业逻辑和基本面,,
2026-04-14,先进制程设备材料,鼎龙股份/京仪装备/富创精密/中科飞测,长存扩产链,"长存扩产和反外国不当域外管辖条例强化国产替代叙事","长存三厂进设备；四厂动工；国产设备材料导入","项目备案；招投标；公司公告；客户验证；财报","事件催化后需看订单",低位多看逻辑,"政策叙事先行；招标节奏慢；估值提前反映",低位关注产业逻辑和基本面,,
2026-04-13,AIDC/算力租赁,协创数据,算力租赁,"26Q1业绩预告强化算力租赁利润兑现","Q1净利高增；集群贡献增加；海外租金反弹","业绩预告；财报；集群数量；客户合同；收入确认","高位需看趋势量价",高位多看图；趋势保持留,"GPU来源合规；租赁价格波动；估值提前反映",趋势未破时跟踪量价,,
2026-04-13,AIDC/算力租赁,宏景科技,算力租赁,"被称首个拿到B300订单且交付较快的算力租赁龙头","B300订单；万卡集群；授信和担保；交付进度","公告；授信公告；服务器到货；客户合同；收入确认","高位需看趋势量价",高位多看图；趋势保持留,"授信不等于订单；交付延期；卡源合规；估值提前反映",趋势未破时跟踪量价,,
2026-04-13,AIDC/算力租赁,利通电子,算力租赁/合作分成,"NCP渠道和东阳光合作被反复提及，弹性空间被上修","NCP渠道；东阳光出资；B300集群；分成模式","合作协议；客户合同；卡源；利润分成；财报收入确认","高位需看趋势量价",高位多看图；趋势保持留,"合作结构不透明；折旧和融资压力；估值提前反映",趋势未破时跟踪量价,,
2026-04-13,AIDC/算力租赁,盈峰环境,算力租赁,"被称通过NCP代买渠道采购4000台建设集群","NCP代买；4000台集群；绿电零碳；资金实力","公告；采购合同；服务器到货；客户合同；利润贡献","高位需看趋势量价",高位多看图；趋势保持留,"主业关联度弱；业务真实性；估值提前反映",趋势未破时跟踪量价,,
2026-05-14,AIDC/Token工厂/算力租赁,润建股份,Token工厂,"一期业务价值可能尚未完全反映，新增线索指向字节合作、70%分成、50%毛利率和二期360MW复制扩张","Token工厂模式披露；字节合作真实性；二期项目预期；分成和利润测算","公司公告；投资者关系记录；项目备案；客户合同；利润确认方式；能评批复；电话会纪要","高位强趋势下需同时看事实验证",高位多看图；趋势保持留,"利润指引真实性；项目进度；估值已交易；客户集中度；分成口径和卡源不透明",趋势未破时跟踪量价,,"公开IR仅能验证智算云和持续投入方向，字节合作及70%分成等核心口径仍待验证"
2026-05-14,AIDC/Token工厂/算力租赁,利通电子,算力租赁,"传统算力租赁龙头之一，增量资源转型Token工厂","算力需求旺盛；商业模式升级","公告；财报；客户订单；算力资源；利用率","待补充",低位多看逻辑,"租赁价格下行；折旧压力；融资压力",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,协创数据,算力租赁,"算力租赁相关标的","算力需求旺盛","公告；财报；业务占比；客户订单","待补充",低位多看逻辑,"业务相关度不足；业绩贡献不确定",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,宏景科技,算力租赁,"算力租赁相关标的","算力需求旺盛","公告；财报；业务占比；客户订单","待补充",低位多看逻辑,"业务相关度不足；业绩贡献不确定",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,盈峰环境,算力租赁,"算力租赁相关标的","算力需求旺盛","公告；财报；业务占比；客户订单","待补充",低位多看逻辑,"转型进度；主业关联度；估值波动",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,森远股份,国产算租,"国产算租，具备资产重组预期","国产算力放量；重组预期","重组公告；监管问询；业务合同；风险提示","待补充",低位多看逻辑,"重组不确定；主题交易过热",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,大位科技,AIDC,"字节系AIDC灰马/黑马","字节需求；AIDC补涨","客户绑定证据；项目规模；收入确认","待补充",低位多看逻辑,"客户绑定真实性；涨幅已反映",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,东方国信,AIDC,"字节系AIDC灰马/黑马","字节需求；AIDC补涨","客户绑定证据；项目规模；收入确认","待补充",低位多看逻辑,"业务占比；订单兑现",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,润泽科技,AIDC,"字节系AIDC","大厂CAPEX提升；AIDC需求","客户结构；上架率；项目投产；财报","待补充",低位多看逻辑,"资本开支压力；估值波动",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,数据港,AIDC,"阿里系AIDC","阿里CAPEX提升；AIDC需求","阿里订单；机柜利用率；项目进度","待补充",低位多看逻辑,"客户集中；项目投产低于预期",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,科华数据,AIDC,"腾讯系AIDC","腾讯CAPEX提升；国产芯片部署","腾讯客户绑定；数据中心业务贡献；能源指标","待补充",低位多看逻辑,"业务占比；项目进度；竞争加剧",低位关注产业逻辑和基本面,,
2026-05-14,AIDC/Token工厂/算力租赁,世纪互联,AIDC,"宁德时代入股形成边际催化","宁德时代入股；股权结构变化","股权公告；战略协同；项目落地；财务影响","待补充",低位多看逻辑,"短期涨幅过大；协同不确定",低位关注产业逻辑和基本面,,
2026-05-10,国产算力/AI ASIC,芯原股份,AI ASIC/IP,"新签订单大超预期，AI算力相关订单占比高","1.1-4.29新签订单82.4亿元；云侧AI ASIC及IP需求","公司公告；订单结构；客户量产；收入确认；在手订单转化率","待补充",低位多看逻辑,"亏损持续；订单取消；客户集中；先进制程资源受限",低位关注产业逻辑和基本面,,
2026-05-10,半导体设备零部件,富创精密,先进制程零部件,"26Q1利润拐点出现，产能和新品带来弹性","7nm及以下零部件放量；毛利率修复；新品拓展","财报；客户认证；稼动率；新品收入；固定资产利用率","待补充",低位多看逻辑,"产能利用率不足；折旧压力；新品验证不及预期",低位关注产业逻辑和基本面,,
2026-05-10,Token工厂/算力租赁,润建股份,Token工厂,"电话会称算力业务即将重大变化，Token工厂模式稀缺","五象云谷一期投产；二期360MW；300亿资金规模","公告；电话会纪要；项目备案；能评；授信；合同结构","待补充",低位多看逻辑,"融资压力；收入确认不清；项目延期；估值提前反映",低位关注产业逻辑和基本面,,
2026-05-10,光通信/半导体光学,茂莱光学,CPO/OCS/FSO/半导体光学,"跨越半导体与AI光互连的价值重估","半导体订单增长；设立光互连子公司；北美客户导入","公告；订单；客户认证；子公司业务；收入分项","待补充",低位多看逻辑,"客户传闻；收入体量小；产能扩张不及预期",低位关注产业逻辑和基本面,,
2026-05-10,真空镀膜/光刻/TGV,汇成真空,高端镀膜设备,"传统主业拐点向上，新兴业务从0到1","苹果链交付；光刻镀膜设备；光通信；TGV玻璃基板","公告；订单；验收；客户验证；设备量产进度","待补充",低位多看逻辑,"多线推进分散；订单落地慢；收入确认错配",低位关注产业逻辑和基本面,,
2026-05-10,液冷/海外ASIC,申菱环境,液冷/数据中心温控,"新签海外30亿大单，出海持续超预期","AWS交付；谷歌下单预期；海外算力租赁客户订单","公告；客户；订单金额；交付计划；毛利率","待补充",低位多看逻辑,"订单真实性；竞争加剧；交付延期；毛利率下滑",低位关注产业逻辑和基本面,,
2026-05-10,液冷/机器人/光储,鸿富瀚,液冷模组/多业务,"液冷客户和产能预期较高，强庄股高位看趋势","阿里订单；海外客户资质；梅州/泰国/苏州/越南产能","公告；调研纪要；客户认证；产能投放；收入利润","待补充",高位多看图；趋势保持留,"业务兑现复杂；强庄波动；估值与利润不匹配",趋势未破时跟踪量价,,
2026-05-10,芯片测试链,和林微纳,FT探针/测试耗材,"AI芯片测试通胀，FT探针迎量价齐升","Robin量产；颖崴稼动率提升；拟H股上市","公告；招股材料；客户订单；量产供货；探针收入","待补充",低位多看逻辑,"Q1亏损；MEMS亏损拖累；海外链验证不确定",低位关注产业逻辑和基本面,,
2026-05-10,芯片测试链,金海通,分选机/三温测试,"AI算力芯片放量带动分选机需求","三温测试需求；封测厂扩产；AI客户导入","公告；订单；客户验证；收入利润；市场空间来源","待补充",低位多看逻辑,"技术壁垒相对低；竞争加剧；毛利率下行",低位关注产业逻辑和基本面,,
2026-05-10,芯片测试链,长川科技,测试设备平台,"测试通胀+国产替代+新品拓展，中国版泰瑞达叙事","GPU/SoC/存储测试机；硅光订单；先进封装设备","公告；订单；客户验证；产品收入分项；研发进度","待补充",低位多看逻辑,"远期估值激进；订单兑现；海外龙头竞争",低位关注产业逻辑和基本面,,
2026-05-10,光通信/CPO,炬光科技,V型槽/微光学器件,"康宁10倍扩产核心受益，CPO器件取得突破","康宁/NV CPO方案；高通道V型槽；光通信收入增长","公告；客户认证；小批量订单；收入分项；产能迁移","待补充",低位多看逻辑,"短期收入小；独供说法待证；估值提前反映",低位关注产业逻辑和基本面,,
2026-05-10,光刻胶/存储材料,鼎龙股份,高端光刻胶,"高端光刻胶送样和量产进展，等待长江存储催化","30款高端光刻胶；近5款量产；ArF胶验证","公告；送样客户；量产收入；长江存储订单","待补充",高位多看图；趋势保持留,"高位回撤；客户验证周期；收入占比不足",趋势未破时跟踪量价,,
2026-05-10,先进封装/CPU产业链,通富微电,封测,"AMD大客户，GPU和CPU均有封测业务","CPU涨价；AMD链；先进封装需求","公告；客户收入占比；CPU/GPU封测订单；产能","待补充",低位多看逻辑,"映射交易过热；客户集中；利润率波动",低位关注产业逻辑和基本面,,
2026-05-10,昇腾链/连接器,意华股份,高速I/O连接器,"昇腾910C高速I/O连接器二供，超节点价值量提升","昇腾订单同比增长；板对板连接器通过认证","公告；客户认证；订单；价值量；市占率","待补充",低位多看逻辑,"份额不确定；竞争；主业波动",低位关注产业逻辑和基本面,,
